[2017-06-07 18:02:51] <Sedat Gokcen> [Tweet] https://twitter.com/tbeernot/status/871679360763342848
[2017-06-07 18:16:14] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/872483841205821440
[2017-06-09 11:22:30] <Sedat Gokcen> [Tweet] https://twitter.com/stilkov/status/873058005780119552
[2017-06-09 13:57:04] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/873142649934548992
[2017-06-09 20:52:26] <Sedat Gokcen> [Tweet] https://twitter.com/ugurarpaci/status/873241871451082752
[2017-06-09 21:07:05] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/873254132680970241
[2017-06-10 13:05:22] <Sedat Gokcen> [Tweet] https://twitter.com/rotnroll666/status/873432118776483842
[2017-06-10 13:05:34] <Sedat Gokcen> [Tweet] https://twitter.com/sdeleuze/status/873430696240590848
[2017-06-11 12:08:44] <Sedat Gokcen> [Tweet] https://twitter.com/hhariri/status/873828957128462336
[2017-06-11 17:52:26] <Sedat Gokcen> [Tweet] https://twitter.com/zzzeek/status/873560477766471680
[2017-06-13 13:52:43] <Sedat Gokcen> [Tweet] https://twitter.com/epagesdevs/status/874582410314342400
[2017-06-13 17:49:53] <Sedat Gokcen> [Tweet] https://twitter.com/kurtiskemple/status/874620403452436480
[2017-06-14 15:10:08] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/874975096728956929
[2017-06-23 19:31:28] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/878297134931615744
[2017-06-24 10:50:30] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/878523610939486208
[2017-06-26 11:35:30] <Sedat Gokcen> [Tweet] https://twitter.com/JavaOOQ/status/879255447437553664
[2017-06-28 04:22:31] <Sedat Gokcen> [Tweet] https://twitter.com/rickmanelius/status/879880169783255040
[2017-06-30 20:13:28] <Sedat Gokcen> [Tweet] https://twitter.com/petrikainulaine/status/880850926482927617
[2017-07-02 23:34:55] <Sedat Gokcen> [Tweet] https://twitter.com/_ericelliott/status/881614732893061120
[2017-07-04 11:49:07] <Sedat Gokcen> [Tweet] https://twitter.com/baeldung/status/882162274928078848
